MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
V2NF2,,,1,,,,,,,,1,1,,,,,,,1,,-0.57,231,0.401,3.043,3.319
Cr2CF2,,,,1,,,,,,1,,1,,,,,,,1,,-0.23,231,0.399,3.021,3.323
Cr2NF2,,,,1,,,,,,,1,1,,,,,,,1,,-0.16,229,0.394,3.036,3.403
Zr2C,,,,,1,,,,,1,,,,,,1,,,1,,-0.26,197,0.422,3.28,3.505
Zr2N,,,,,1,,,,,,1,,,,,1,,,1,,-0.24,195,0.418,3.25,3.465
Zr2CH2,,,,,1,,,,,1,,,1,,,,,,1,,-0.65,195,0.42,3.317,3.463
Zr2NH2,,,,,1,,,,,,1,,1,,,,,,1,,-0.64,194,0.415,3.253,3.446
Nb2C,,,,,,1,,,,1,,,,,,1,,,1,,-0.39,194,0.416,3.119,3.422
Nb2N,,,,,,1,,,,,1,,,,,1,,,1,,-0.3,193,0.42,3.137,3.484
Nb2CH2,,,,,,1,,,,1,,,1,,,,,,1,,-0.71,193,0.401,3.115,3.331
Nb2NH2,,,,,,1,,,,,1,,1,,,,,,1,,-0.73,191,0.403,2.957,3.386
Mo2C,,,,,,,1,,,1,,,,,,1,,,1,,-0.48,190,0.414,3.005,3.457
Mo2N,,,,,,,1,,,,1,,,,,1,,,1,,-0.37,189,0.409,2.79,3.412
Mo2CH2,,,,,,,1,,,1,,,1,,,,,,1,,-0.62,189,0.391,2.938,3.272
Mo2NH2,,,,,,,1,,,,1,,1,,,,,,1,,-0.7,187,0.395,2.788,3.303
Zr2CO2,,,,,1,,,,,1,,,,1,,,,,1,,-0.05,176,0.396,3.317,3.346
Zr2NO2,,,,,1,,,,,,1,,,1,,,,,1,,-0.14,175,0.397,3.269,3.331
Zr2COH,,,,,1,,,,,1,,,,,1,,,,1,,-0.89,175,0.424,3.331,3.452
Zr2NOH,,,,,1,,,,,,1,,,,1,,,,1,,-0.86,174,0.425,3.302,3.445
Nb2CO2,,,,,,1,,,,1,,,,1,,,,,1,,-0.04,174,0.386,3.133,3.252
Zr2CF2,,,,,1,,,,,1,,1,,,,,,,1,,-0.68,173,0.425,3.321,3.482
Nb2NO2,,,,,,1,,,,,1,,,1,,,,,1,,-0.17,173,0.393,3.136,3.278
Nb2COH,,,,,,1,,,,1,,,,,1,,,,1,,-1.05,173,0.419,3.204,3.393
Nb2NOH,,,,,,1,,,,,1,,,,1,,,,1,,-0.75,172,0.424,2.958,3.45
Zr2NF2,,,,,1,,,,,,1,1,,,,,,,1,,-0.76,171,0.427,3.308,3.49
Nb2CF2,,,,,,1,,,,1,,1,,,,,,,1,,-0.52,171,0.42,3.214,3.485
Mo2CO2,,,,,,,1,,,1,,,,1,,,,,1,,0.4,171,0.385,2.993,3.292
Nb2NF2,,,,,,1,,,,,1,1,,,,,,,1,,-0.25,170,0.419,2.911,3.496
Mo2NO2,,,,,,,1,,,,1,,,1,,,,,1,,0.33,170,0.397,2.866,3.315
Mo2COH,,,,,,,1,,,1,,,,,1,,,,1,,-0.99,170,0.419,3.29,3.406
Mo2NOH,,,,,,,1,,,,1,,,,1,,,,1,,-0.86,169,0.419,2.833,3.404
Mo2CF2,,,,,,,1,,,1,,1,,,,,,,1,,-0.01,167,0.407,3.275,3.534
Mo2NF2,,,,,,,1,,,,1,1,,,,,,,1,,0.15,166,0.404,2.785,3.559
Hf2C,,,,,,,,1,,1,,,,,,1,,,1,,-0.33,120,0.415,3.21,3.42
