MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
Mo2N,,,,,,,1,,,,1,,,,,1,1,,,,0.64,244,0.71,2.79,2.853
Mo2CH2,,,,,,,1,,,1,,,1,,,,1,,,,0.53,244,0.73,2.938,3.038
Mo2NH2,,,,,,,1,,,,1,,1,,,,1,,,,0.44,242,0.7,2.788,2.902
Zr2CO2,,,,,1,,,,,1,,,,1,,,1,,,,0.67,223,0.722,3.317,3.223
Zr2NO2,,,,,1,,,,,,1,,,1,,,1,,,,0.55,221,0.731,3.269,3.18
Zr2COH,,,,,1,,,,,1,,,,,1,,1,,,,-0.31,221,0.836,3.331,3.311
Nb2CO2,,,,,,1,,,,1,,,,1,,,1,,,,0.89,220,0.71,3.133,3.146
Zr2NOH,,,,,1,,,,,,1,,,,1,,1,,,,-0.27,219,0.831,3.302,3.288
Nb2NO2,,,,,,1,,,,,1,,,1,,,1,,,,0.66,218,0.646,3.136,2.946
Nb2COH,,,,,,1,,,,1,,,,,1,,1,,,,-0.27,218,0.82,3.204,3.186
Zr2CF2,,,,,1,,,,,1,,1,,,,,1,,,,-0.08,217,0.722,3.321,3.243
Zr2NF2,,,,,1,,,,,,1,1,,,,,1,,,,0.08,216,0.716,3.308,3.222
Nb2NOH,,,,,,1,,,,,1,,,,1,,1,,,,0.62,216,0.786,2.958,3.157
Nb2CF2,,,,,,1,,,,1,,1,,,,,1,,,,0.91,215,0.655,3.214,3.113
Mo2CO2,,,,,,,1,,,1,,,,1,,,1,,,,1.23,214,0.624,2.993,2.934
Nb2NF2,,,,,,1,,,,,1,1,,,,,1,,,,1.28,213,0.661,2.911,3.12
Mo2NO2,,,,,,,1,,,,1,,,1,,,1,,,,1.27,213,0.613,2.866,2.833
Mo2COH,,,,,,,1,,,1,,,,,1,,1,,,,-0.32,213,0.827,3.29,3.263
Mo2NOH,,,,,,,1,,,,1,,,,1,,1,,,,-0.22,211,0.829,2.833,3.28
Mo2CF2,,,,,,,1,,,1,,1,,,,,1,,,,1.75,209,0.619,3.275,3.06
Mo2NF2,,,,,,,1,,,,1,1,,,,,1,,,,1.65,208,0.708,2.785,3.2
Hf2C,,,,,,,,1,,1,,,,,,1,1,,,,0.51,140,0.783,3.21,3.266
Hf2NH2,,,,,,,,1,,,1,,1,,,,1,,,,-0.02,139,0.798,3.179,3.199
Hf2N,,,,,,,,1,,,1,,,,,1,1,,,,0.53,139,0.78,3.175,3.188
Hf2CH2,,,,,,,,1,,1,,,1,,,,1,,,,-0.21,139,0.814,3.252,3.263
Ta2C,,,,,,,,,1,1,,,,,,1,1,,,,0.53,138,0.764,3.081,3.102
Ta2NH2,,,,,,,,,1,,1,,1,,,,1,,,,0.13,137,0.737,2.926,2.994
Ta2N,,,,,,,,,1,,1,,,,,1,1,,,,0.56,137,0.758,3.098,3.063
Ta2CH2,,,,,,,,,1,1,,,1,,,,1,,,,0.18,137,0.772,3.089,3.125
Hf2NO2,,,,,,,,1,,,1,,,1,,,1,,,,0.23,129,0.753,3.215,3.134
Hf2COH,,,,,,,,1,,1,,,,,1,,1,,,,-0.26,129,0.829,3.276,3.262
Hf2CO2,,,,,,,,1,,1,,,,1,,,1,,,,0.39,129,0.738,3.27,3.181
Ta2CO2,,,,,,,,,1,1,,,,1,,,1,,,,0.58,128,0.733,3.13,3.118
Hf2NOH,,,,,,,,1,,,1,,,,1,,1,,,,-0.21,128,0.823,3.257,3.241
Ta2NO2,,,,,,,,,1,,1,,,1,,,1,,,,0.38,127,0.66,3.135,2.916
Ta2COH,,,,,,,,,1,1,,,,,1,,1,,,,-0.23,127,0.817,3.193,3.181
Hf2NF2,,,,,,,,1,,,1,1,,,,,1,,,,0.4,127,0.684,3.251,3.161
Hf2CF2,,,,,,,,1,,1,,1,,,,,1,,,,-0.26,127,0.769,3.261,3.232
Ta2NOH,,,,,,,,,1,,1,,,,1,,1,,,,1.58,126,0.748,2.92,3.129
Ta2CF2,,,,,,,,,1,1,,1,,,,,1,,,,1.13,126,0.646,3.209,3.099
Ta2NF2,,,,,,,,,1,,1,1,,,,,1,,,,1.53,125,0.649,2.861,3.1
Sc2C,1,,,,,,,,,1,,,,,,1,,1,,,0.27,362,0.849,3.312,3.405
Sc2N,1,,,,,,,,,,1,,,,,1,,1,,,0.25,358,0.844,3.19,3.29
Sc2CH2,1,,,,,,,,,1,,,1,,,,,1,,,-0.15,358,0.863,3.28,3.319
Sc2NH2,1,,,,,,,,,,1,,1,,,,,1,,,-0.17,353,0.849,3.185,3.247
Ti2C,,1,,,,,,,,1,,,,,,1,,1,,,0.22,349,0.83,3.082,3.205
Ti2N,,1,,,,,,,,,1,,,,,1,,1,,,0.23,344,0.831,2.988,3.148
Ti2CH2,,1,,,,,,,,1,,,1,,,,,1,,,-0.21,344,0.838,3.037,3.116
Ti2NH2,,1,,,,,,,,,1,,1,,,,,1,,,-0.22,340,0.833,2.988,3.084
V2C,,,1,,,,,,,1,,,,,,1,,1,,,0.2,335,0.831,2.897,3.18
V2N,,,1,,,,,,,,1,,,,,1,,1,,,0.17,331,0.836,2.92,3.189
V2CH2,,,1,,,,,,,1,,,1,,,,,1,,,-0.18,331,0.832,2.877,3.024
Cr2C,,,,1,,,,,,1,,,,,,1,,1,,,0.16,331,0.821,2.828,3.099
V2NH2,,,1,,,,,,,,1,,1,,,,,1,,,-0.21,327,0.829,2.756,3.014
Cr2N,,,,1,,,,,,,1,,,,,1,,1,,,0.31,327,0.83,2.675,3.095
Cr2CH2,,,,1,,,,,,1,,,1,,,,,1,,,-1.68,327,0.791,2.872,3.08
Cr2NH2,,,,1,,,,,,,1,,1,,,,,1,,,-0.18,323,0.834,2.867,3.029
Sc2CO2,1,,,,,,,,,1,,,,1,,,,1,,,1.15,298,0.863,3.214,3.235
Sc2NO2,1,,,,,,,,,,1,,,1,,,,1,,,1.35,295,0.87,3.238,3.185
Sc2COH,1,,,,,,,,,1,,,,,1,,,1,,,-0.27,295,0.846,3.287,3.315
Sc2NOH,1,,,,,,,,,,1,,,,1,,,1,,,-0.22,291,0.837,3.207,3.256
Ti2CO2,,1,,,,,,,,1,,,,1,,,,1,,,0.56,289,0.856,3.032,3.055
Sc2CF2,1,,,,,,,,,1,,1,,,,,,1,,,-0.28,288,0.863,3.263,3.29
Ti2NO2,,1,,,,,,,,,1,,,1,,,,1,,,0.49,286,0.857,3.003,3.048
Ti2COH,,1,,,,,,,,1,,,,,1,,,1,,,-0.34,285,0.825,3.073,3.131
Sc2NF2,1,,,,,,,,,,1,1,,,,,,1,,,-0.36,285,0.846,3.184,3.229
Ti2NOH,,1,,,,,,,,,1,,,,1,,,1,,,-0.31,283,0.827,3.063,3.125
Ti2CF2,,1,,,,,,,,1,,1,,,,,,1,,,-0.18,280,0.864,3.054,3.162
V2CO2,,,1,,,,,,,1,,,,1,,,,1,,,0.64,279,0.846,2.895,2.991
Ti2NF2,,1,,,,,,,,,1,1,,,,,,1,,,-0.26,277,0.863,3.062,3.179
V2NO2,,,1,,,,,,,,1,,,1,,,,1,,,0.6,276,0.852,2.905,3.011
V2COH,,,1,,,,,,,1,,,,,1,,,1,,,-0.4,276,0.817,3,3.063
Cr2CO2,,,,1,,,,,,1,,,,1,,,,1,,,0.65,276,0.85,2.899,3.019
V2NOH,,,1,,,,,,,,1,,,,1,,,1,,,-0.35,274,0.823,3.054,3.124
Cr2NO2,,,,1,,,,,,,1,,,1,,,,1,,,0.82,274,0.855,2.866,3.033
Cr2COH,,,,1,,,,,,1,,,,,1,,,1,,,-0.39,274,0.821,3.032,3.094
V2CF2,,,1,,,,,,,1,,1,,,,,,1,,,0.07,271,0.873,2.978,3.197
Cr2NOH,,,,1,,,,,,,1,,,,1,,,1,,,-0.35,271,0.824,3.033,3.111
V2NF2,,,1,,,,,,,,1,1,,,,,,1,,,0.01,268,0.874,3.043,3.21
Cr2CF2,,,,1,,,,,,1,,1,,,,,,1,,,0.49,268,0.866,3.021,3.151
Cr2NF2,,,,1,,,,,,,1,1,,,,,,1,,,0.14,265,0.867,3.036,3.136
Zr2C,,,,,1,,,,,1,,,,,,1,,1,,,0.37,223,0.846,3.28,3.411
Zr2N,,,,,1,,,,,,1,,,,,1,,1,,,0.38,221,0.847,3.25,3.34
Zr2CH2,,,,,1,,,,,1,,,1,,,,,1,,,-0.08,221,0.858,3.317,3.354
Nb2C,,,,,,1,,,,1,,,,,,1,,1,,,0.32,220,0.838,3.119,3.208
Zr2NH2,,,,,1,,,,,,1,,1,,,,,1,,,-0.03,219,0.851,3.253,3.299
Nb2N,,,,,,1,,,,,1,,,,,1,,1,,,0.33,218,0.837,3.137,3.197
Nb2CH2,,,,,,1,,,,1,,,1,,,,,1,,,0.01,218,0.845,3.115,3.2
Nb2NH2,,,,,,1,,,,,1,,1,,,,,1,,,-0.08,216,0.845,2.957,3.21
Mo2C,,,,,,,1,,,1,,,,,,1,,1,,,0.32,215,0.825,3.005,3.118
Mo2N,,,,,,,1,,,,1,,,,,1,,1,,,0.28,213,0.843,2.79,3.292
Mo2CH2,,,,,,,1,,,1,,,1,,,,,1,,,0.12,213,0.843,2.938,3.139
Mo2NH2,,,,,,,1,,,,1,,1,,,,,1,,,-0.06,211,0.85,2.788,3.195
Zr2CO2,,,,,1,,,,,1,,,,1,,,,1,,,0.33,197,0.877,3.317,3.277
Zr2NO2,,,,,1,,,,,,1,,,1,,,,1,,,0.27,195,0.876,3.269,3.249
Zr2COH,,,,,1,,,,,1,,,,,1,,,1,,,-0.16,195,0.848,3.331,3.356
Zr2NOH,,,,,1,,,,,,1,,,,1,,,1,,,-0.14,194,0.848,3.302,3.346
Nb2CO2,,,,,,1,,,,1,,,,1,,,,1,,,0.49,194,0.869,3.133,3.169
Zr2CF2,,,,,1,,,,,1,,1,,,,,,1,,,-0.27,193,0.867,3.321,3.348
Nb2NO2,,,,,,1,,,,,1,,,1,,,,1,,,0.33,193,0.871,3.136,3.188
Nb2COH,,,,,,1,,,,1,,,,,1,,,1,,,-0.21,193,0.839,3.204,3.243
Nb2NOH,,,,,,1,,,,,1,,,,1,,,1,,,-0.03,192,0.842,2.958,3.304
Zr2NF2,,,,,1,,,,,,1,1,,,,,,1,,,-0.3,191,0.857,3.308,3.346
Nb2CF2,,,,,,1,,,,1,,1,,,,,,1,,,-0.14,190,0.883,3.214,3.366
Mo2CO2,,,,,,,1,,,1,,,,1,,,,1,,,0.89,190,0.87,2.993,3.212
Nb2NF2,,,,,,1,,,,,1,1,,,,,,1,,,0.16,189,0.864,2.911,3.445
Mo2NO2,,,,,,,1,,,,1,,,1,,,,1,,,0.53,189,0.838,2.866,2.886
