7.72E-03,5.36E-03,1.01E-02,1.34E-03,
2.64E-03,1.19E-03,7.21E-03,1.28E-03,
1.58E-03,4.51E-04,3.37E-03,7.69E-04,
6.59E-03,4.77E-03,8.84E-03,1.09E-03,
7.04E-03,4.66E-03,9.72E-03,1.32E-03,
7.84E-04,-5.64E-05,6.92E-03,1.34E-03,
2.65E-03,1.38E-03,3.77E-03,7.52E-04,
5.92E-03,3.88E-03,8.23E-03,1.16E-03,
2.28E-03,9.92E-04,5.80E-03,9.79E-04,
2.34E-03,1.52E-03,3.17E-03,4.57E-04,
1.17E-03,3.49E-04,2.37E-03,5.28E-04,
2.88E-03,1.57E-03,4.06E-03,7.62E-04,
1.02E-03,2.07E-04,1.72E-03,4.39E-04,
1.92E-03,9.20E-04,3.00E-03,5.67E-04,
2.88E-03,1.40E-03,4.69E-03,8.73E-04,
1.53E-03,7.29E-04,2.76E-03,5.29E-04,
2.96E-03,1.53E-03,5.25E-03,9.03E-04,
1.74E-03,6.48E-04,3.28E-03,7.08E-04,
1.59E-02,1.10E-02,2.16E-02,2.79E-03,
2.08E-02,1.45E-02,2.54E-02,2.43E-03,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,Sc
,,,,Ti
,,,,V
,,,,Cr
,,,,Zr
,,,,Nb
,,,,Mo
,,,,Hf
,,,,Ta
,,,,C
,,,,N
,,,,F
,,,,H
,,,,O
,,,,OH
,,,,NULL
,,,,Li
,,,,Na
,,,,K
,,,,Mg
